Post Name,Legality,Category,Our Category,Seller,Description,Shipping From
Ketamine S-isomer Needle 99% FREE WORLD WIDE SHIPPING,Illegal ,Ketamine,Hard Drugs,DopeNL,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL
Pure Bolivian Shiny Fishscale Cocaine 87% - Disco Shit,Illegal,Cocaine,Hard Drugs,DopeSeller,,NL
LSD Blotters 200ug Needlepoint Crystal +99%,Illegal,LSD,Hard Drugs,drugstar,,NL
Pure Uncut Afghan Heroin #3,Illegal,Heroin,Hard Drugs,DrugzFromNL,,NL
High Quality Dutch MDMA 95%,Illegal,MDMA,Hard Drugs,DrugzFromNL,,NL
Afgan Heroin,Illegal,Heroin,Hard Drugs,DutchDope,,NL
0.5g - Crystal Methamphetamine 96% Crystal clear Ice!,Illegal,Buds & Flowers,Soft Drugs,DutchSupreme,put under the wrong category we think as it is meth,NL
* 3.5GR MDMA 89% Pure Champagne* ,Illegal,MDMA,Hard Drugs,JessyBakery,"production, possession, and trade are a criminal offence.",NL
0.5 gram High Quality Cocaine,Illegal,Cocaine,Hard Drugs,MickeyMouseNLL,,NL
5 grams High Quality Crack Cocaine,Illegal,Crack,Hard Drugs,MickeyMouseNLL,,NL
25 x 250 ug LSD tabs,Illegal,LSD,Hard Drugs,MickeyMouseNLL,,NL
5 grams High quality Cocaine [90%] NL to NL !,Illegal,Cocaine,Hard Drugs,PostNL,,NL
10 grams High Quality MDMA [80%] | NL to NL !,Illegal,MDMA,Hard Drugs,PostNL,"production, possession, and trade are a criminal offence.",NL
Pharmacy Cannabis - 1 Gram Bedrocan - Medicinal Marihuana,Depends ,Buds & Flowers,Soft Drugs,Safety1st,,NL
1GR Crystal Meth Ephedrine shards FREE SHIPPING,Illegal ,Meth,Hard Drugs,StealthExpress,,NL
Quad (7 grams) High Quality Cocaine [90%] - Free Ship !,Illegal,Cocaine,Hard Drugs,tomandjerry,,NL
2 grams Ketamine [S] - Free Shipping !,Illegal ,Ketamine,Hard Drugs,tomandjerry,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL
Special Promo ketamine 1g 14.50 euro ,Illegal ,Ketamine,Hard Drugs,Topflakesamsterdam,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL
3.5g Gram Cocaine 75% intense Coca Columbian,Illegal,Cocaine,Hard Drugs,Freewalder,,IR
vilitra 20mg (generic levitra) 50 tablets,Depends,Prescription,Prescription Medication,truegenerics,"It is a prescription medecine to help men with erectile dysfunction, however when taken when this dysfunction is not present, it can cause a dangerously long errection. It is legal when prescribed to youbut since it is solf on the black market it makes it pottentially illegal to use. ",IN
lovegra 100mg (generic viagra for women) 40 tablets,Legal ,Prescription,Medication,truegenerics,The seller specifies that the buyer should check with their GP if this pill is okay for them so the pill should be legal. ,IN
5Xtc Givencys 250mg CLEAN CUT,Illegal,Ecstasy ,Hard Drugs,Freewalder,,IE
7g Strawberry - CALI import AAAA+,Illegal,Buds & Flowers,Soft Drugs,FunkyMonkey,Upto 5g its legal for possesion. Bove 30g its prosecuted with 3 yearrs of prison. For selling without a licence its illegal,GB 
Diazepam / valium Real from pharmacy,Depends,Benzos,Prescription Medication,comberUK,It’s a prescription narcotic ,GB
ALD-52 100ug Tabs! X1-100 UK-WW LSD Prodrug (1A-LSD),Illegal,Other RCs,Hard Drugs,DiscoJuice,,GB
2PK♥Distillate Delta-9♥ 750mg THC Cart - Straw,Depends,Concentrates,Soft Drugs,Distillate4U,its cannabis formula for a vape. The rules on that one are not very clear,GB
"STARTER VAPE KIT -500mg THC cart, battery, charger adapter",Legal,Concentrates,Soft Drugs,Distillate4U,,GB
